objectid,parentid,filename,youtube,title,speaker,panel-members,date,abstract,subject,location,type,format,language,object_location
nilc_001,panel-1,bruggerman.mp4,https://youtu.be/kzJUEvP2FoI,The 5S Organization System,Jenna Bruggerman,,2025-04-19,"This project explores merging traditional fire lookout practices with modern needs. A semester-long study produced nine architectural boards: the first three analyze a 1940s Idaho Cupola; the next three propose improvements in hygiene, sanitation, and organization while preserving the lookout’s essence. The final boards introduce a new prototype inspired by the Japanese 5S system, where every item has a place and living elements fold away to save space. Influenced by Asian design, the result honors tradition while embracing innovation.",architecture; typology; 5s organization system; tradition; innovation; cupola; hygiene; sanitation; improvement,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_002,panel-1,james.mp4,https://youtu.be/SwwD--g1Y5A,"""Sunshine"" AKA Filmmaking on Sundance Mountain",Ben James,,2025-04-19,"This talk introduces my film project Sunshine, set at the Sundance Mountain fire lookout near Priest Lake, ID, where an eco-terrorist hides and sparks conflict between locals and state authorities. I begin by sharing research from my 2023–24 fire lookout volunteer experience and how solitude shaped my views on surveillance, vulnerability, and wildness. Next, I explore fire towers as symbols of tension between control and nature. Finally, I reflect on indie filmmaking in Idaho, with scripts and location footage.",indie filmmaking; priest lake; sundance mountain; eco-terrrorism; lookout volunteer; idaho department of lands,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_003,panel-1,house_and_cooter.mp4,https://youtu.be/IwJ1LGhfz9g,Preserving Idaho's Fire Lookouts,Billy Cooter and Cat House,,2025-04-19,"Once nearly 1,000 strong, fewer than 200 of Idaho’s fire lookouts remain—many threatened by time, fire, and neglect. This presentation explores their history, significance, and preservation through stories, research, and multimedia. We’ll visit remote summits, uncover forgotten artifacts, and meet those behind Idaho Fire Lookouts—a project inspired by a passion for hiking, history, and photography. Learn how grassroots efforts, including Lookout Mountain’s restoration, are making a difference. Whether adventurer or historian, you’ll leave inspired to help protect them.",hobbyists; preservation; restoration; social media; grassroots; community,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_004,panel-1,roach.mp4,https://youtu.be/6b8A15HwvLA,Timeless Guardians: Human Fire Lookouts,Kevin Roach,,2025-04-19,"As AI and camera systems rise in wildfire detection, the value of human Lookouts remains unmatched. Trained eyes detect early f lare-ups invisible to tech, provide real-time, localized context, and offer critical on-the-ground insight that enhances fire response. Lookouts embody the Forest Service’s mission—connecting people, land, and legacy. Beyond efficiency, they offer ecological wisdom, public engagement, and a lower-impact alternative to expanding tech infrastructure. Preserving Lookouts means protecting practical knowledge, cultural heritage, and a vital line of defense.",corral hill lookout; artificial intelligence; lookout lifestyle; preservation; heritage; ,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_005,panel-2,reakes.mp4,https://youtu.be/aU7rI12g3k0,The Study of a Typological Artefact,Connor Reakes,,2025-04-19,"Bear Mountain’s 53’ L-4 lookout, built in 1951 with materials dropped by air and hauled by mule, remains staffed and maintained by the USFS—rare among towers increasingly decommissioned. My research follows three phases: typological study, improvement, and innovation. Located in one of the Idaho’s most f ire-active regions, Bear Mountain is ideal for fire observation. Insights from longtime lookout Steven Kalling inspired a “Pagoda” redesign: a utilitarian stair and railing system with PV panel roofing and a new dwelling unit beneath the original tower. The final proposal integrates f ire research, hiker recreation, and preservation, surrounding the historic structure with a protective, multifunctional lattice framework.",bear mountain lookout; typology; architecture; united states forest service; pagoda; redesign; utilitarianism; dwelling; steven kalling; pv panel roofing; integration; improvement,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_006,panel-2,patterson.mp4,https://youtu.be/3CvNp-DTmBI,Tracing Lookouts Past: Fieldwork and Fire in the River of No Return Wilderness,Don Patterson,,2025-04-19,"In the summers of 1979 and 1980, my wife and I worked for the Big Creek Ranger District on the Payette National Forest, conducting a fuels inventory across the River of No Return Wilderness. Backpacking remote trails, we documented fuel conditions and visited the district’s few remaining staffed fire lookouts—only three of the original 33 remained, and just one survives today. Our experience included wilderness challenges, such as a tick fever evacuation, and visits to Taylor Ranch. My wife also served as a fire lookout on South Baldy. This presentation reflects on our fieldwork, the decline of lookouts, and offers rare images and hand-drawn maps from this transitional era.",payette national forest; big creek; frank church river of no return wilderness; taylor ranch; south baldy lookout; the decline of lookouts; fuels inventory; historic maps; tick fever,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_007,panel-2,oconnel.mp4,https://youtu.be/6XmGR7jR_QI,St. Mary Peak Fire Lookout: A Successful Partnership,Clare O'Connel,,2025-04-19,"This presentation highlights a successful 14-year collaboration between the U.S. Forest Service and the Selway-Bitterroot Frank Church Foundation to operate and maintain the historic St. Mary Peak Fire Lookout in the Bitterroot National Forest near Stevensville, Montana. Combining federal stewardship with nonprofit engagement, the partnership encourages public involvement in wilderness conservation, strengthens fire detection efforts, and preserves a cultural landmark listed on the National Register of Historic Places in 2017. The talk will explore the project’s origins, challenges, and achievements, demonstrating how shared efforts keep the lookout active as both a fire management asset and a symbol of wilderness heritage in the Selway-Bitterroot Wilderness.",selway-bitterroot wilderness; selway-bitterroot frank church foundation; sbfc; st. mary peak fire lookout; non-profits; partnerships; lookout volunteer; national register of historic places; public involvement; bitterroot national forest,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_008,panel-3,scott.mp4,https://youtu.be/SKuFiGSQxu8,The Unnatural Devolution,Simon Scott,,2025-04-19,"The lookout is a structure, a person, and an action—change one, and the others shift. This fourth-year architecture project redef ines the lookout typology by altering “lookout” as an action in three steps, tracing its effects on structure and occupant. Step one studies “looking out” from a fixed point, using the late Stormy Peak Lookout Tower in the Salmon National Forest for historical and topographic context. Step two explores “looking in,” initiating deconstruction and memorialization through a visitor-centered compound. Step three considers “looking between,” separating programmatic elements into single-use cabins. Through this staged deconstruction, the Stormy Peak Lookout ultimately transcends the typology, helping redefine its architectural boundaries.",stormy peak lookout; typology; architecture; improvement; innovation; integration; utilitarianism; salmon national forest,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_009,panel-3,riddle.mp4,https://youtu.be/F8ZUKUnP3lA,Photogrammetry and Reflections on Resiliency,Jacob Riddle,,2025-04-19,"In this artist talk, Jacob Riddle reflects on his 2024 Artist in Residence experience at Castle Butte Lookout, supported by Open AIR Montana and the Selway-Bitterroot Frank Church Foundation. Using photogrammetry, Riddle created 3D scans of artifacts and natural elements, transforming them into sculptural monuments that honor the fragile balance between human history and nature. His work responds to the lasting effects of wildfire, celebrating resilience in both ecosystems and human creativity. The talk explores his creative and technical process, along with the philosophical themes that drive his practice—a meditation on loss, survival, and renewal in a time of profound ecological and cultural transformation.",castle butte lookout; photogrammetry; resiliency; geographic information systems; gis; open air montana; selway-bitterroot frank church wilderness; sbfc; sculpture,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
nilc_010,panel-3,guerin.mp4,https://youtu.be/_1x9TuQr604,"Red Hill Lookout: California's Most Unique Detection Station Historical, Architectural, and Cultural Context",Michael Guerin,,2025-04-19,"Growing up in suburban Southern California, I knew fire lookouts existed nearby, but I had no idea one was just a mile from home. Decades later, I became both a fire lookout staffer and a volunteer archivist for the San Bernardino National Forest, documenting the history of local towers. This presentation explores one of the most unique lookouts ever built—Red Hill/Mather—located in a developing suburb. I’ll share its design, challenges faced by the Forest Service, and how it became a private residence today.",red hill lookout; urbanism; suburbs; san bernardino national forest; typology; architecture; archivist; lookout volunteer; forest fire lookout association; ffla,University of Idaho Integrated Research and Innovation Center,image; moving image,video/mp4,eng,
